,No. of features,Decision Tree,KNN,Random Forest,XGBoost
0,15,0.8512250195745438,0.8690159364532484,0.8701575059490297,0.9750219073455979
1,14,0.8403073292195355,0.8526635606954525,0.8540543985401643,0.9618316029626669
2,13,0.83791059958966,0.8477872023782342,0.8597938472507769,0.9607912114706334
3,12,0.8369285442574256,0.8618599177501792,0.8569232772918361,0.9588083796747006
4,11,0.8114592288622235,0.8554491189048206,0.838760725706463,0.9388487552261274
5,10,0.80879037934107,0.8271844654534833,0.8427761654709199,0.9403841416838649
6,9,0.8088867226274992,0.8271848492825452,0.8395267330161122,0.9301194864625545
7,8,0.7234711340916682,0.8152325506069799,0.7657960562599032,0.8284759470779
8,7,0.7157238340991428,0.8152325506069799,0.757103452720611,0.8273782893824748
9,6,0.7175198589425786,0.8152325506069799,0.759534389220439,0.8242236862858763
10,5,0.7127218485261293,0.8134222468007695,0.7550394201498704,0.8181736512678246
11,4,0.3339030699662434,0.4841469337235672,0.344408973996521,0.33411919566862547
12,3,0.3340043732824341,0.49412307639932884,0.34482406307235897,0.3340326324870522
13,2,0.34173492159967017,0.4982165500684131,0.35082022549838626,0.34168293905750363
14,1,0.4917631689980778,0.5052517354351928,0.49046385721211416,0.4917631689980778
