,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['Decision Tree'],[0],[0],[2],[0],['0.6245557253662671']
1,['Decision Tree'],[0],[0],[5],[0],['0.7867763036119788']
2,['Decision Tree'],[0],[0],[7],[0],['0.8364830279779388']
3,['Decision Tree'],[0],[0],[10],[0],['0.8772386185203415']
4,['Decision Tree'],[0],[0],[15],[0],['0.8819062487835302']
5,['Decision Tree'],[0],[0],[20],[0],['0.8714341058042567']
6,['Random Forest'],[100],[0],[2],[0],['0.7590830631538752']
7,['Random Forest'],[100],[0],[3],[0],['0.8039899133100814']
8,['Random Forest'],[100],[0],[4],[0],['0.8379839908908824']
9,['Random Forest'],[100],[0],[5],[0],['0.8686687564776294']
10,['Random Forest'],[100],[0],[6],[0],['0.8947641068238333']
11,['Random Forest'],[200],[0],[2],[0],['0.7698801524004049']
12,['Random Forest'],[200],[0],[3],[0],['0.8083258640439']
13,['Random Forest'],[200],[0],[4],[0],['0.8438508257273089']
14,['Random Forest'],[200],[0],[5],[0],['0.8722846095923366']
15,['Random Forest'],[200],[0],[6],[0],['0.8979422480065071']
16,['Random Forest'],[500],[0],[2],[0],['0.7695939274113586']
17,['Random Forest'],[500],[0],[3],[0],['0.8098194019662077']
18,['Random Forest'],[500],[0],[4],[0],['0.8444208793191545']
19,['Random Forest'],[500],[0],[5],[0],['0.8724146148617369']
20,['Random Forest'],[500],[0],[6],[0],['0.8976786919605482']
21,['Random Forest'],[1000],[0],[2],[0],['0.7708151196471851']
22,['Random Forest'],[1000],[0],[3],[0],['0.8103949614910289']
23,['Random Forest'],[1000],[0],[4],[0],['0.8443775716529599']
24,['Random Forest'],[1000],[0],[5],[0],['0.8729186744257419']
25,['Random Forest'],[1000],[0],[6],[0],['0.8981006723806939']
26,['KNN'],[0],[0],[0],[3],['0.8932573470758989']
27,['KNN'],[0],[0],[0],[5],['0.9064852820656256']
28,['KNN'],[0],[0],[0],[7],['0.9064657147921643']
29,['KNN'],[0],[0],[0],[11],['0.9016311310612508']
30,['XGBoost'],[100],[0.01],[2],[0],['0.8003993741360047']
31,['XGBoost'],[100],[0.01],[3],[0],['0.8469175519869264']
32,['XGBoost'],[100],[0.01],[4],[0],['0.8818692770809179']
33,['XGBoost'],[100],[0.01],[5],[0],['0.9091423005353849']
34,['XGBoost'],[100],[0.01],[6],[0],['0.9257063578230115']
35,['XGBoost'],[200],[0.01],[2],[0],['0.8246277946885222']
36,['XGBoost'],[200],[0.01],[3],[0],['0.8684325417660013']
37,['XGBoost'],[200],[0.01],[4],[0],['0.9021465410564458']
38,['XGBoost'],[200],[0.01],[5],[0],['0.9266601022920739']
39,['XGBoost'],[200],[0.01],[6],[0],['0.9412816972065634']
40,['XGBoost'],[500],[0.01],[2],[0],['0.8653998053535178']
41,['XGBoost'],[500],[0.01],[3],[0],['0.9079682992783832']
42,['XGBoost'],[500],[0.01],[4],[0],['0.9349239250611279']
43,['XGBoost'],[500],[0.01],[5],[0],['0.9531771230860635']
44,['XGBoost'],[500],[0.01],[6],[0],['0.9634480196842811']
45,['XGBoost'],[1000],[0.01],[2],[0],['0.8955364374554096']
46,['XGBoost'],[1000],[0.01],[3],[0],['0.9326564311937557']
47,['XGBoost'],[1000],[0.01],[4],[0],['0.9552374983148267']
48,['XGBoost'],[1000],[0.01],[5],[0],['0.9680215876070358']
49,['XGBoost'],[1000],[0.01],[6],[0],['0.9743471373504298']
50,['XGBoost'],[100],[0.1],[2],[0],['0.8967306922354498']
51,['XGBoost'],[100],[0.1],[3],[0],['0.9338542937706624']
52,['XGBoost'],[100],[0.1],[4],[0],['0.9561846466895169']
53,['XGBoost'],[100],[0.1],[5],[0],['0.968420968184167']
54,['XGBoost'],[100],[0.1],[6],[0],['0.9751649282030332']
55,['XGBoost'],[200],[0.1],[2],[0],['0.9214499672521462']
56,['XGBoost'],[200],[0.1],[3],[0],['0.9538582102885516']
57,['XGBoost'],[200],[0.1],[4],[0],['0.9695280928884713']
58,['XGBoost'],[200],[0.1],[5],[0],['0.9778832851925984']
59,['XGBoost'],[200],[0.1],[6],[0],['0.9814749903244827']
60,['XGBoost'],[500],[0.1],[2],[0],['0.9461586415230803']
61,['XGBoost'],[500],[0.1],[3],[0],['0.9704500289744565']
62,['XGBoost'],[500],[0.1],[4],[0],['0.9795951608283868']
63,['XGBoost'],[500],[0.1],[5],[0],['0.9834977596253873']
64,['XGBoost'],[500],[0.1],[6],[0],['0.9845210918097754']
65,['XGBoost'],[1000],[0.1],[2],[0],['0.9601166407502209']
66,['XGBoost'],[1000],[0.1],[3],[0],['0.9774148429643029']
67,['XGBoost'],[1000],[0.1],[4],[0],['0.982205290186663']
68,['XGBoost'],[1000],[0.1],[5],[0],['0.9846452519177286']
69,['XGBoost'],[1000],[0.1],[6],[0],['0.9850809055898528']
70,['XGBoost'],[100],[0.3],[2],[0],['0.9339904375228439']
71,['XGBoost'],[100],[0.3],[3],[0],['0.9621183535937821']
72,['XGBoost'],[100],[0.3],[4],[0],['0.9756482465480965']
73,['XGBoost'],[100],[0.3],[5],[0],['0.98103183887714']
74,['XGBoost'],[100],[0.3],[6],[0],['0.9833237293045689']
75,['XGBoost'],[200],[0.3],[2],[0],['0.9509387999764727']
76,['XGBoost'],[200],[0.3],[3],[0],['0.9731771851395015']
