,No. of features,Decision Tree,KNN,Random Forest,XGBoost
0,15,0.952905065656573,0.9479803943468708,0.9790463115202062,0.9900581264195359
1,14,0.9532242521513761,0.8761306451473784,0.97731181348699,0.9906329535689068
2,13,0.9534599788827638,0.8861934596936905,0.9776936484157517,0.9903095522757811
3,12,0.9543862970165963,0.9043112351179108,0.9781161848165179,0.9904895874680617
4,11,0.9541857495368399,0.9396827256687603,0.9775228531127672,0.9902569615136546
5,10,0.953623789306184,0.9394223539776103,0.9767836432065854,0.9901515797746988
6,9,0.9472824931524679,0.9394148969476823,0.9748371663208166,0.988793779400598
7,8,0.9503747491856279,0.9393705685131511,0.9767088517374202,0.9886025398694264
8,7,0.9488157343389634,0.9393637212354908,0.9781997711881536,0.9884360570000521
9,6,0.9474724877280838,0.9392737863373043,0.9761993313392857,0.9869665188940024
10,5,0.9449777248532234,0.9387619558656105,0.9744094176750646,0.9869319209005859
11,4,0.941758308776693,0.9385233030976696,0.9698505811234661,0.9804721239931329
12,3,0.9398058246887059,0.9380731626828689,0.9571988392369987,0.9672614354950811
13,2,0.9031125142664196,0.8909532454493038,0.9155285410523181,0.9192101712610427
14,1,0.5054915575221843,0.495675744126671,0.5054915575221843,0.5054915575221843
