,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['Decision Tree'],[0],[0],[2],[0],['0.7744954138993636']
1,['Decision Tree'],[0],[0],[5],[0],['0.9375872866771278']
2,['Decision Tree'],[0],[0],[7],[0],['0.9500814986872094']
3,['Decision Tree'],[0],[0],[10],[0],['0.9350374857105586']
4,['Decision Tree'],[0],[0],[15],[0],['0.9219050679801886']
5,['Decision Tree'],[0],[0],[20],[0],['0.9206933475275487']
6,['Random Forest'],[100],[0],[2],[0],['0.8909778754953951']
7,['Random Forest'],[100],[0],[3],[0],['0.930109176600564']
8,['Random Forest'],[100],[0],[4],[0],['0.9556376796274076']
9,['Random Forest'],[100],[0],[5],[0],['0.9708426732670968']
10,['Random Forest'],[100],[0],[6],[0],['0.9786732976313111']
11,['Random Forest'],[200],[0],[2],[0],['0.8973300942076742']
12,['Random Forest'],[200],[0],[3],[0],['0.9301021191830394']
13,['Random Forest'],[200],[0],[4],[0],['0.9560008110422025']
14,['Random Forest'],[200],[0],[5],[0],['0.9715803911234703']
15,['Random Forest'],[200],[0],[6],[0],['0.9791932081087866']
16,['Random Forest'],[500],[0],[2],[0],['0.8965211795126379']
17,['Random Forest'],[500],[0],[3],[0],['0.931160406238577']
18,['Random Forest'],[500],[0],[4],[0],['0.9562885768569768']
19,['Random Forest'],[500],[0],[5],[0],['0.9714573618505243']
20,['Random Forest'],[500],[0],[6],[0],['0.9791807053200854']
21,['Random Forest'],[1000],[0],[2],[0],['0.8973407272913011']
22,['Random Forest'],[1000],[0],[3],[0],['0.9323845295900268']
23,['Random Forest'],[1000],[0],[4],[0],['0.9568106557622258']
24,['Random Forest'],[1000],[0],[5],[0],['0.9715033123674252']
25,['Random Forest'],[1000],[0],[6],[0],['0.9795806594546009']
26,['KNN'],[0],[0],[0],[3],['0.9355831739181066']
27,['KNN'],[0],[0],[0],[5],['0.944144274964035']
28,['KNN'],[0],[0],[0],[7],['0.9481383759480592']
29,['KNN'],[0],[0],[0],[11],['0.9493810093744708']
30,['XGBoost'],[100],[0.01],[2],[0],['0.9356502133028556']
31,['XGBoost'],[100],[0.01],[3],[0],['0.9622253437997031']
32,['XGBoost'],[100],[0.01],[4],[0],['0.9741055605980456']
33,['XGBoost'],[100],[0.01],[5],[0],['0.9786332911672504']
34,['XGBoost'],[100],[0.01],[6],[0],['0.9806954340287841']
35,['XGBoost'],[200],[0.01],[2],[0],['0.947883103161729']
36,['XGBoost'],[200],[0.01],[3],[0],['0.9706555820483864']
37,['XGBoost'],[200],[0.01],[4],[0],['0.9787514023718306']
38,['XGBoost'],[200],[0.01],[5],[0],['0.9818781612543169']
39,['XGBoost'],[200],[0.01],[6],[0],['0.9833388472386652']
40,['XGBoost'],[500],[0.01],[2],[0],['0.9699014247211647']
41,['XGBoost'],[500],[0.01],[3],[0],['0.9808273424277374']
42,['XGBoost'],[500],[0.01],[4],[0],['0.9854057241249109']
43,['XGBoost'],[500],[0.01],[5],[0],['0.9870209797608656']
44,['XGBoost'],[500],[0.01],[6],[0],['0.9876865206598391']
45,['XGBoost'],[1000],[0.01],[2],[0],['0.9778080150678272']
46,['XGBoost'],[1000],[0.01],[3],[0],['0.9856856187894796']
